epoch,train_mae,val_mae
0,0.7633199529266358,0.5602000863075256
1,0.511710081501007,0.4637412425994873
2,0.3979326895904541,0.3883713600635529
3,0.36359255666732787,0.3340086613178253
4,0.339763561706543,0.3483550599098206
5,0.3256769759941101,0.3252934660434723
6,0.3138255412578583,0.32521789588928224
7,0.30911205833435057,0.3458282160282135
8,0.29957037910461426,0.28706262826919554
9,0.2925183040237427,0.31760771126747134
10,0.28232669486045836,0.28521889824867247
11,0.2841965584754944,0.28068765354156494
12,0.2748082464981079,0.26073484196662905
13,0.27087343629837035,0.2785079836368561
14,0.26522048151016236,0.27109133982658384
15,0.2608849152708054,0.25131419262886046
16,0.25887780062675475,0.2463929808139801
17,0.2529218423652649,0.24012289648056032
18,0.2535147654533386,0.24702062311172485
19,0.2443381281709671,0.2500984060764313
